,Platform,Latitude,Longitude,PLATFORM,LIQUID RATE(BLPD),OIL(BOPD),WATER(BWPD),GAS LIFT RATE(M3/DAY),FORM GAS(M3/DAY),TOTAL GAS(M3/DAY),Injection rate bwpd,Free gas,Field,Rig,Platform type
0,NLM1,18.672961111111114,72.35786944444443,NLM1,3559.7889999999998,304.36,3255.429,128024.0,92900.0,220924.0,0.0,71316.0,Neelam,no,Well head
1,NLM2,18.691169444444444,72.34816944444444,NLM2,8066.07,528.8679999999999,7537.204,273704.0,48617.0,322321.0,6524.6688,25413.0,Neelam,no,Well head
2,NLM3,18.708891666666666,72.34123888888888,NLM3,11659.873,1311.38,10348.495,399348.0,71168.0,470516.0,10701.12,0.0,Neelam,no,Well head
3,NLM4,18.724149999999998,72.33858888888888,NLM4,9484.77,1029.191,8455.581,500464.0,32265.0,532729.0,8138.88,0.0,Neelam,no,Well head
4,NLM5,18.717388888888888,72.31903888888888,NLM5,7765.909,716.479,7049.429,368829.0,69773.0,438602.0,0.0,0.0,Neelam,yes,Well head
5,NLM6,18.741780555555557,72.32716944444444,NLM6,15521.812,1306.653,14215.16,477009.0,54875.0,531884.0,0.0,0.0,Neelam,no,Well head
6,NLM7,18.734761111111112,72.30746944444444,NLM7,11321.695,949.672,10372.023,369104.0,42352.0,411456.0,8440.32,0.0,Neelam,no,Well head
7,NLM8,18.76081111111111,72.32033055555556,NLM8,15885.01,1000.092,14884.921,481892.0,68225.0,550117.0,10505.184,37794.0,Neelam,no,Well head
8,NLM9,18.753988888888887,72.30001944444444,NLM9,19260.692,1416.9180000000001,17843.773999999998,429161.0,110289.0,539450.0,0.0,5940.0,Neelam,no,Well head
9,NLM10,18.786150000000003,72.32593055555556,NLM10,3484.764,210.098,3274.6659999999997,168484.0,122508.0,290992.0,0.0,103660.0,Neelam,no,Well head
10,NLM11,18.806019444444445,72.33425,NLM11,2210.11,137.508,2072.602,105320.0,146736.0,252056.0,0.0,137714.0,Neelam,no,Well head
11,NLM12,18.69169227777778,72.35351999999999,NLM12,5191.612999999999,178.877,5012.734,114580.0,68116.0,182696.0,0.0,0.0,Neelam,no,Well head
12,WN1,18.66743888888889,72.33245,WN1,0.0,0.0,0.0,0.0,0.0,0.0,17825.6544,0.0,,no,Well head
13,WN2,18.6911,72.32218055555555,WN2,0.0,0.0,0.0,0.0,0.0,0.0,17769.888,0.0,,no,Well head
14,B173A,18.93085,72.306,B173A,9681.873,816.998,8864.876,174888.0,16532.0,191420.0,0.0,0.0,Neelam,no,Well head
15,B173AB,18.92913888888889,72.30499722222221,B173AB,13163.635,994.554,12169.08,187710.0,41148.0,228858.0,0.0,0.0,Neelam,no,Well head
