,Pipeline,Service,Source,Receiver,Size,Length,Commissioning
1,B134A-HP,WF,B-134A,HP,8,8.88,2019-07-01 00:00:00
2,HB-HA,WF,HB,HA,10,5.6,2014-05-15 00:00:00
3,HB-HE,WF,HB,HE,10,3.1,2014-05-17 00:00:00
4,HC-HA,WF,HC,HA,10,10.1,1995-07-01 00:00:00
5,HC-HI,WF,HC,HI,10,0.9,2010-05-03 00:00:00
6,HD-HA,WF,HD,HA,12,6.8,2018-12-01 00:00:00
7,HE-HRG,WF,HE,HRG,14,3.5,2018-12-01 00:00:00
8,HF-HA,WF,HF,HA,10,7.406,1990-03-05 00:00:00
9,HG-HY,WF,HG,HY,8,2.7937,2013-05-01 00:00:00
10,HI-HRC,WF,HI,HRC,14,10.84,2010-06-01 00:00:00
11,HJ-HRC,WF,HJ,HRC,12,5.67,2010-02-01 00:00:00
12,HK-HRC,WF,HK,HRC,12,7.79838,2014-03-13 00:00:00
13,HP-HRC,WF,HP,HRC,12,10.63038,2014-04-04 00:00:00
14,HQ-HRD,WF,HQ,HRD,10,3.045,2016-02-05 00:00:00
15,HR-HRG,WF,HR,HRG,10,2.8,2019-05-01 00:00:00
16,HSA-HRG,WF,HSA,HRG,18,16.1,2016-03-05 00:00:00
17,HSB-HRG,WF,HSB,HRG,14,12.5,1995-05-21 00:00:00
18,HSB-HS A,WF,HSB,HSA,6,3.5,1905-06-17 00:00:00
19,HSC-HRG,WF,HSC,HRG,16,12.71,2009-08-20 00:00:00
20,HSD-HRC,WF,HSD,HRC,16,12.51065,2014-04-12 00:00:00
21,HS-HRG,WF,HS,HRG,12,5.5,2016-04-01 00:00:00
22,HT-HRD,WF,HT,HRA,12,9.034,2020-05-08 00:00:00
23,HV-HX,WF,HV,HX,12,5.7,2016-05-01 00:00:00
24,HX-HRG,WF,HX,HRG,12,6.964,1997-12-23 00:00:00
25,HY-HRG,WF,HY,HRG,12,5.8,1998-01-05 00:00:00
26,HZ-HRG,WF,HZ,HRG,12,7.962,2007-05-08 00:00:00
27,SS01-HY,WF,SS01,HY,6,2.4,2015-05-30 00:00:00
28,SS03-HZ,WF,SS03,HZ,6,3.6,2015-05-30 00:00:00
29,HA-HD,G/L,HA,HD,6,5.83,1990-91
