,Platform,Latitude,Longitude,Platform type
0,NLM1,"18° 40' 22.66""","72° 21' 28.33""",Well head
1,NLM2,"18° 41' 28.21""","72° 20' 53.41""",Well head
2,NLM3,"18° 42' 32.01""","72° 20' 28.46""",Well head
3,NLM4,"18° 43' 26.94""","72° 20' 18.92""",Well head
4,NLM5,"18° 43' 2.6""","72° 19' 8.54""",Well head
5,NLM6,"18° 44' 30.41""","72° 19' 37.81""",Well head
6,NLM7,"18° 44' 5.14""","72° 18' 26.89""",Well head
7,NLM8,"18° 45' 38.92""","72° 19' 13.19""",Well head
8,NLM9,"18° 45' 14.36""","72° 18' 0.07""",Well head
9,NLM10,"18° 47' 10.14""","72° 19' 33.35""",Well head
10,NLM11,"18° 48' 21.67""","72° 20' 3.3""",Well head
11,NLM12,"18° 41' 30.0922""","72° 21' 12.6720""",Well head
12,NLM13,"18° 46.028'0.03""","72° 17' 9.6""",Well head
13,WN1,"18° 40' 2.78""","72° 19' 56.82""",Well head
14,WN2,"18° 41' 27.96""","72° 19' 19.85""",Well head
15,SPM-EM,"18° 41' 58.34""","72° 21' 17.35""",
16,SPM-BUOY,"18° 42' 31.25""","72° 21' 19.66""",
17,NLP,"18° 42' 31.03""","72° 20' 25.69""",Process Complex
18,NLW,"18° 42' 29.59""","72° 20' 22.24""",Process Complex
19,NLG,"18° 42' 33""","72° 12' 8.42""",Process Complex
20,B173A,"18° 55' 51.06""","72° 18' 21.6""",Well head
21,B173AB,"18° 55' 44.9""","72° 18' 17.99""",Well head
22,B173AC,"18° 56' 93""","72° 15' 89""",Well head
23,NLF-1,"18° 42' 29.48""","72° 20' 30.3""",Flare
24,NLF-2,"18° 42' 11.41""","72° 20' 39.91""",Flare
25,HA,"18° 34' 58.01""","72° 14' 27.96""",Well head
26,HRA,"18° 34' 55.02""","72° 14' 27.71""",Process Complex
27,HRA-F1,"18° 34' 52.36""","72° 14' 27.85""",Flare
28,HPF,"18° 34' 32.66""","72° 14' 29.54""",Process Complex
29,HRG,"18° 34' 56.14""","72° 14' 25.87""",Process Complex
30,WIH,"18° 34' 54.05""","72° 14' 21.95""",Process Complex
31,HB,"18° 32' 13.6""","72° 15' 26.68""",Well head
32,HC,"18° 39' 39.2""","72° 13' 19.74""",Well head
33,HD,"18° 36' 13""","72° 13' 59.99""",Well head
34,HE,"18° 33' 38.48""","72° 14' 57.01""",Well head
35,HF,"18° 38' 16.51""","72° 14' 2.83""",Well head
36,HG,"18° 35' 45.06""","72° 17' 37""",Well head
37,HI,"18° 39' 30.96""","72° 12' 51.12""",Well head
38,HJ,"18° 37' 14.52""","72° 14' 56.4""",Well head
39,HK,"18° 31' 57.04""","72° 15' 13.68""",Well head
40,HM,"18° 35' 45.06""","72° 17' 37""",Well head
41,HN,"18° 37' 93""","72° 14' 2""",Well head
42,HP,"18° 40' 6.28""","72° 13' 35.15""",Well head
43,HQ,"18° 35' 42""","72° 12' 48.92""",Well head
44,HR,"18° 34' 6.96""","72° 13' 27.01""",Well head
45,HS,"18° 32' 42.11""","72° 13' 48.97""",Well head
46,HT,"18° 31' 16.07""","72° 14' 30.91""",Well head
47,HV,"18° 38' 45.17""","72° 14' 58.24""",Well head
48,HX,"18° 36' 21.71""","72° 15' 47.74""",Well head
49,HY,"18° 34' 29.14""","72° 16' 46.09""",Well head
50,HZ,"18° 31' 53.03""","72° 16' 44.08""",Well head
51,HSA,"18° 30' 4.39""","72° 15' 56.63""",Well head
52,HSB,"18° 29' 6.54""","72° 15' 7.96""",Well head
53,HSC,"18° 29' 51.72""","72° 15' 0.72""",Well head
54,HSD,"18° 29' 25.19""","72° 14' 44.05""",Well head
55,HRC,"18° 34' 59.92""","72° 14' 22.52""",Process Complex
56,HRD,"18° 35' 2.75""","72° 14' 23.02""",Process Complex
57,B-134A,"18° 43' 35.15""","72° 13' 41.48""",Well head
58,B-12 Process,"18° 16' 23.59""","72° 22' 48.36""",
59,R-12 Flare,"18° 16' 20.39""","72° 22' 48.65""",Flare
60,R-12 SBM,"18° 16' 54.01""","72° 23' 24""",
61,R7A,"18° 1' 3.37""","72° 22' 43.27""",Well head
62,R9A,"18° 8' 9.22""","72° 25' 17.16""",Well head
63,R13A,"18° 15' 32.435""","72° 16' 20.6409""",Well head
64,R10A,"18° 8' 29.48""","72° 22' 4.51""",Well head
65,R12B,"18° 18' 38.15""","72° 21' 49.02""",Well head
66,R12A,"18° 16' 23.66""","72° 22' 47.37""",Well head
