,Platform,Latitude,Longitude,Platform type
0,NLM1,18.672961111111114,72.35786944444443,Well head
1,NLM2,18.691169444444444,72.34816944444444,Well head
2,NLM3,18.708891666666666,72.34123888888888,Well head
3,NLM4,18.724149999999998,72.33858888888888,Well head
4,NLM5,18.717388888888888,72.31903888888888,Well head
5,NLM6,18.741780555555557,72.32716944444444,Well head
6,NLM7,18.734761111111112,72.30746944444444,Well head
7,NLM8,18.76081111111111,72.32033055555556,Well head
8,NLM9,18.753988888888887,72.30001944444444,Well head
9,NLM10,18.786150000000003,72.32593055555556,Well head
10,NLM11,18.806019444444445,72.33425,Well head
11,NLM12,18.69169227777778,72.35351999999999,Well head
12,NLM13,18.767141666666667,72.286,Well head
13,WN1,18.66743888888889,72.33245,Well head
14,WN2,18.6911,72.32218055555555,Well head
15,SPM-EM,18.69953888888889,72.35481944444444,
16,SPM-BUOY,18.708680555555556,72.35546111111111,
17,NLP,18.708619444444444,72.34046944444444,Process Complex
18,NLW,18.708219444444445,72.33951111111111,Process Complex
19,NLG,18.709166666666665,72.20233888888889,Process Complex
20,B173A,18.93085,72.306,Well head
21,B173AB,18.92913888888889,72.30499722222221,Well head
22,B173AC,18.95916666666667,72.27472222222222,Well head
23,NLF-1,18.708188888888888,72.34174999999999,Flare
24,NLF-2,18.703169444444445,72.34441944444444,Flare
25,HA,18.582780555555555,72.2411,Well head
26,HRA,18.58195,72.24103055555555,Process Complex
27,HRA-F1,18.58121111111111,72.24106944444445,Flare
28,HPF,18.57573888888889,72.24153888888888,Process Complex
29,HRG,18.582261111111112,72.24051944444444,Process Complex
30,WIH,18.581680555555554,72.23943055555556,Process Complex
31,HB,18.537111111111113,72.25741111111111,Well head
32,HC,18.660888888888888,72.22215,Well head
33,HD,18.603611111111114,72.23333055555555,Well head
34,HE,18.56068888888889,72.24916944444445,Well head
35,HF,18.637919444444442,72.23411944444445,Well head
36,HG,18.59585,72.2936111111111,Well head
37,HI,18.6586,72.2142,Well head
38,HJ,18.6207,72.249,Well head
39,HK,18.53251111111111,72.2538,Well head
40,HM,18.59585,72.2936111111111,Well head
41,HN,18.642500000000002,72.23388888888888,Well head
42,HP,18.668411111111112,72.22643055555555,Well head
43,HQ,18.595,72.21358888888889,Well head
44,HR,18.5686,72.22416944444444,Well head
45,HS,18.545030555555556,72.23026944444445,Well head
46,HT,18.521130555555555,72.24191944444445,Well head
47,HV,18.645880555555554,72.24951111111112,Well head
48,HX,18.606030555555556,72.2632611111111,Well head
49,HY,18.574761111111112,72.27946944444444,Well head
50,HZ,18.53139722222222,72.27891111111111,Well head
51,HSA,18.501219444444445,72.26573055555555,Well head
52,HSB,18.48515,72.25221111111111,Well head
53,HSC,18.497700000000002,72.2502,Well head
54,HSD,18.490330555555555,72.24556944444444,Well head
55,HRC,18.58331111111111,72.23958888888889,Process Complex
56,HRD,18.584097222222223,72.23972777777777,Process Complex
57,B-134A,18.726430555555552,72.2281888888889,Well head
58,B-12 Process,18.273219444444443,72.3801,
59,R-12 Flare,18.272330555555556,72.38018055555555,Flare
60,R-12 SBM,18.281669444444443,72.39,
61,R7A,18.01760277777778,72.37868611111111,Well head
62,R9A,18.135894444444443,72.42143333333334,Well head
63,R13A,18.25900972222222,72.27240025,Well head
64,R10A,18.14152222222222,72.36791944444444,Well head
65,R12B,18.310597222222224,72.36361666666666,Well head
66,R12A,18.273238888888887,72.379825,Well head
