Asset,Field,Status,Category,Oil Inplace,Solution Gas Inplace,Gas Cond Gas Inplace,Formation Gas Inplace,OOEG,Oil Ultimate,Solution and GCG Gas Ultimate,Formation Gas ultimate,OOEG Ultimate,Oil Production,Solution and GCG Gas UltimateProduction,Formation Gas Production,OOEG Production,Oil Balance Reserves,Solution and GCG Gas Balance Reserves,Formation Gas Balance Reserves,OOEG Balance Reserves,Oil Contingent Reserves,Solution and GCG Gas Contingent Reserves,Formation Gas Contingent Reserves,OOEG Contingent Reserves,area
NEELAM & HEERA ASSET,B-134,Producing,1P,1.91,405.9,136.1,127.1,2.58,0.27,245.7,93.9,0.60,0.20,202.5,60.5,0.47,0.06,43.2,33.4,0.14,,,,,B134
NEELAM & HEERA ASSET,B-134,Producing,2P,1.91,405.9,136.1,127.1,2.58,0.31,364.7,93.9,0.76,0.20,202.5,60.5,0.47,0.06,103.2,33.4,0.20,0.04,59.0,,0.10,B134
NEELAM & HEERA ASSET,B-134,Producing,3P,1.91,405.9,136.1,127.1,2.58,0.31,364.7,93.9,0.76,0.20,202.5,60.5,0.47,0.06,103.2,33.4,0.20,0.04,59.0,,0.10,B134
NEELAM & HEERA ASSET,B-173A,Producing,1P,16.27,2017.5,,,18.29,4.00,888.2,,4.88,3.67,740.8,,4.41,0.33,147.4,,0.47,,,,,B173A
NEELAM & HEERA ASSET,B-173A,Producing,2P,18.31,2266.7,8.9,426.3,21.01,4.00,888.2,16.8,4.90,3.67,740.8,,4.41,0.33,147.4,,0.47,,,16.8,0.02,B173A
NEELAM & HEERA ASSET,B-173A,Producing,3P,18.31,2266.7,8.9,426.3,21.01,4.37,1644.5,335.5,6.35,3.67,740.8,,4.41,0.46,872.7,,1.33,0.24,31.0,335.5,0.61,B173A
NEELAM & HEERA ASSET,HEERA,Producing,1P,231.91,33146.3,,12810.2,277.86,71.09,13910.8,10248.1,95.25,57.36,12833.4,4746.4,74.94,13.74,1077.5,5501.8,20.32,,,,,Heera
NEELAM & HEERA ASSET,HEERA,Producing,2P,240.91,33406.3,,12810.2,287.12,74.67,16137.0,10248.1,101.06,57.36,12833.4,4746.4,74.94,14.88,3124.7,5501.8,23.5,2.44,178.9,,2.62,Heera
NEELAM & HEERA ASSET,HEERA,Producing,3P,246.49,34226.5,,12810.2,293.52,77.41,16322.6,10248.1,103.98,57.36,12833.4,4746.4,74.94,17.62,3310.3,5501.8,26.43,2.44,178.9,,2.62,Heera
NEELAM & HEERA ASSET,NEELAM,Producing,1P,112.48,16388.0,5805.8,9424.6,144.10,42.54,15747.7,3800.4,62.09,37.76,14662.8,414.4,52.84,4.78,1084.9,3386.0,9.25,,,,,Neelam
NEELAM & HEERA ASSET,NEELAM,Producing,2P,112.48,16388.0,5805.8,9424.6,144.10,43.09,16280.0,6753.4,66.12,37.76,14662.8,414.4,52.84,5.33,1617.2,6339.1,13.28,,,,,Neelam
NEELAM & HEERA ASSET,NEELAM,Producing,3P,112.48,16388.0,5805.8,9424.6,144.10,43.09,16280.0,6753.4,66.12,37.76,14662.8,414.4,52.84,5.33,1617.2,6339.1,13.28,,,,,Neelam
NEELAM & HEERA ASSET,NW B-173A,Producing,1P,4.43,483.3,,,4.92,0.76,213.7,,0.97,0.06,55.1,,0.12,0.70,158.6,,0.86,,,,,NW B173A
NEELAM & HEERA ASSET,NW B-173A,Producing,2P,4.43,483.3,,,4.92,0.76,213.7,,0.97,0.06,55.1,,0.12,0.70,158.6,,0.86,,,,,NW B173A
